"","inoc","end"
"1",10,1352.92900975272
"2",31,1352.91468090807
"3",100,1352.89590510711
"4",316,1352.86961221676
"5",1000,1352.82965785013
"6",3162,1352.7851888443
"7",10000,1352.77377107273
"8",31622,1352.76767455918
"9",1e+05,99951475.2253442
"10",316227,99951475.2253442
"11",1e+06,99951475.2253442
"12",3162277,99951475.2253442
"13",1e+07,99951475.2253442
"14",31622776,99951475.2253442
"15",1e+08,99951475.2253442
