"","time","U","E","P","inoculum"
"1",0,10,1000,0,10
"2",0.100418410041841,9.90037945515401,1197.15087024998,0.00104752182930929,10
"3",0.200836820083682,9.6106931077365,1391.7649086725,0.00217369497202085,10
"4",0.301255230125523,9.15079284159021,1582.07069554308,0.00336691103668258,10
"5",0.401673640167364,8.55038965196621,1766.55927767734,0.00461708853957401,10
"6",0.502092050209205,7.84543361817637,1944.06020628689,0.00591667209110302,10
"7",0.602510460251046,7.07417064175825,2113.77901158734,0.00726132274375993,10
"8",0.702928870292887,6.2735271681928,2275.2970075048,0.00865027106456994,10
"9",0.803347280334728,5.47629152532516,2428.53977320761,0.0100863618676904,10
"10",0.903765690376569,4.70931287525986,2573.72378018592,0.0115758587134871,10
"11",1.00418410041841,3.99271245038376,2711.29142579951,0.0131280939314629,10
"12",1.10460251046025,3.33993987693293,2841.84361182708,0.0147550483123771,10
"13",1.20502092050209,2.7584299436076,2966.0768108277,0.0164709303091019,10
"14",1.30543933054393,2.25060731731001,3084.72903624062,0.0182918045636277,10
"15",1.40585774058577,1.81502403204551,3198.53682211761,0.0202352994077115,10
"16",1.50627615062761,1.44747223519997,3308.20352019214,0.022320406079876,10
"17",1.60669456066946,1.14197381152379,3414.37801446091,0.0245673701285083,10
"18",1.7071129707113,0.891598089592822,3517.64229154846,0.0269976678974297,10
"19",1.80753138075314,0.689094849557242,3618.50604633243,0.0296340571673807,10
"20",1.90794979079498,0.527353529764847,3717.40652520448,0.0325006899267029,10
"21",2.00836820083682,0.399711636369968,3814.71200496976,0.0356232760130453,10
"22",2.10878661087866,0.300140345491594,3910.727573525,0.039029288052379,10
"23",2.2092050209205,0.223335631574933,4005.70215289769,0.0427482001222345,10
"24",2.30962343096234,0.164740300751317,4099.83598375231,0.0468117547799784,10
"25",2.41004184100418,0.120518614639878,4193.28801407775,0.0512542550092857,10
"26",2.51046025104602,0.0875008479106276,4286.18283060163,0.0561128794056554,10
"27",2.61087866108787,0.063111158400131,4378.61691659837,0.0614280203478834,10
"28",2.71129707112971,0.045288579775611,4470.66413396533,0.0672436461155616,10
"29",2.81171548117155,0.0324080324148387,4562.38040521764,0.073607688859428,10
"30",2.91213389121339,0.0232058205825158,4653.80762640117,0.0805724611206694,10
"31",3.01255230125523,0.0167123018665111,4744.97687358902,0.0881951042081331,10
"32",3.11297071129707,0.0121930124139006,4835.91098465133,0.0965380722687675,10
"33",3.21338912133891,0.00909858994160654,4926.6266039479,0.105669656324936,10
"34",3.31380753138075,0.00702317384665184,5017.13577681043,0.115664552951042,10
"35",3.41422594142259,0.00567056524131939,5107.44717489489,0.126604482641822,10
"36",3.51464435146443,0.00482722064394365,5197.56702510157,0.138578863350686,10
"37",3.61506276150628,0.0043410805256241,5287.49980377647,0.151685544986808,10
"38",3.71548117154812,0.00410523710617423,5377.24874947526,0.166031611249916,10
"39",3.81589958158996,0.00404554150318104,5466.81623641916,0.181734255492343,10
"40",3.9163179916318,0.00411133154301266,5556.20404369531,0.19892173800771,10
"41",4.01673640167364,0.00426859838343251,5645.41354688974,0.217734432645691,10
"42",4.11715481171548,0.00449502102814096,5734.44585304705,0.238325971350731,10
"43",4.21757322175732,0.00477640622545906,5823.30189481982,0.260864496065485,10
"44",4.31799163179916,0.00510417179542308,5911.98249554002,0.285534027986646,10
"45",4.418410041841,0.00547358734083745,6000.48841405304,0.312535964856024,10
"46",4.51882845188284,0.00588257477058998,6088.82037514184,0.342090720081359,10
"47",4.61924686192469,0.00633088346008065,6176.97909067609,0.374439514285433,10
"48",4.71966527196653,0.00681954936395631,6264.96527406568,0.409846336064522,10
"49",4.82008368200837,0.00735053781029423,6352.77965055907,0.448600085231732,10
"50",4.92050209205021,0.00792651872708371,6440.42296472401,0.491016918835679,10
"51",5.02092050209205,0.00855072787284745,6527.89598623929,0.537442814065039,10
"52",5.12133891213389,0.00922688858793402,6615.19951462472,0.588256374144387,10
"53",5.22175732217573,0.00995917231688787,6702.33438341742,0.643871892822634,10
"54",5.32217573221757,0.0107521865749488,6789.3014640762,0.704742708115777,10
"55",5.42259414225941,0.0116109806237313,6876.10166984239,0.77136486819824,10
"56",5.52301255230125,0.0125410636298881,6962.73595968189,0.844281125535763,10
"57",5.6234309623431,0.0135484335477226,7049.20534242063,0.924085336597557,10
"58",5.72384937238494,0.0146396103197361,7135.51088115687,1.01142723001691,10
"59",5.82426778242678,0.0158216760485719,7221.65369798451,1.10701763389771,10
"60",5.92468619246862,0.017102323546384,7307.63497904369,1.21163418998027,10
"61",6.02510460251046,0.018489904347722,7393.45598005943,1.3261275879989,10
"62",6.1255230125523,0.0199934835442936,7479.11803230544,1.4514283749206,10
"63",6.22594142259414,0.0216229046160884,7564.62254899314,1.58855438860699,10
"64",6.32635983263598,0.0233888507147953,7649.97103232974,1.73861887081117,10
"65",6.42677824267782,0.0253029161510037,7735.16508109357,1.90283931892239,10
"66",6.52719665271966,0.0273776897129394,7820.20639876979,2.08254714555633,10
"67",6.62761506276151,0.0296268306131206,7905.09680255633,2.2791981998419,10
"68",6.72803347280335,0.0320651659865214,7989.83823292058,2.49438424639383,10
"69",6.82845188284519,0.0347087845210592,8074.43276411707,2.7298454733689,10
"70",6.92887029288703,0.0375751461695271,8158.88261545585,2.98748410348258,10
"71",7.02928870292887,0.0406831948477476,8243.19016359523,3.26937922298836,10
"72",7.12970711297071,0.044053484045108,8327.35795578731,3.57780290160755,10
"73",7.23012552301255,0.0477083096931015,8411.38872426115,3.91523773381223,10
